FID,COUNT,LISTED_TAX,SCIENTIFIC,COMMON_NAM,Shape__Area,Shape__Length
899,8,"1001
847
90381
747
82338
744
1828
87645","Botaurus poiciloptilus
Numenius madagascariensis
Thinornis cucullatus cucullatus
Neophema chrysogaster
Anthochaera phrygia
Lathamus discolor
Litoria raniformis
Miniopterus orianae bassanii","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Eastern Hooded Plover, Eastern Hooded Plover
Orange-bellied Parrot
Regent Honeyeater
Swift Parrot
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog
",158260324.476563,61824.4554303859
900,8,"1001
847
90381
747
82338
744
1828
96","Botaurus poiciloptilus
Numenius madagascariensis
Thinornis cucullatus cucullatus
Neophema chrysogaster
Anthochaera phrygia
Lathamus discolor
Litoria raniformis
Pseudomys novaehollandiae","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Eastern Hooded Plover, Eastern Hooded Plover
Orange-bellied Parrot
Regent Honeyeater
Swift Parrot
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog
",1704273993.89063,501061.694096777
901,10,"1001
847
82338
744
19162
85104
66240
1765
1767
68751","Botaurus poiciloptilus
Numenius madagascariensis
Anthochaera phrygia
Lathamus discolor
Rhodomyrtus psidioides
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Hippocampus whitei
Chelonia mydas
Lepidochelys olivacea
Carcharias taurus","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Regent Honeyeater
Swift Parrot
Native Guava
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
White's Seahorse, Crowned Seahorse, Sydney Seahorse
Green",419763458.570313,153455.866275038
902,10,"1001
847
82338
744
19162
85104
96
66240
1765
68751","Botaurus poiciloptilus
Numenius madagascariensis
Anthochaera phrygia
Lathamus discolor
Rhodomyrtus psidioides
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Pseudomys novaehollandiae
Hippocampus whitei
Chelonia mydas
Carcharias tau","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Regent Honeyeater
Swift Parrot
Native Guava
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
New Holland Mouse, Pookila
White's Seahorse, Crowned Seah",4880227994.375,1390810.59911282
903,10,"1001
847
942
82338
744
78866
19162
85104
1765
1767","Botaurus poiciloptilus
Numenius madagascariensis
Erythrotriorchis radiatus
Anthochaera phrygia
Lathamus discolor
Gossia gonoclada
Rhodomyrtus psidioides
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Chelonia mydas
Lepidochelys oli","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Red Goshawk
Regent Honeyeater
Swift Parrot
Angle-stemmed Myrtle
Native Guava
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
Green Turtle
Olive Ridle",174958857.199219,58541.6087506575
904,7,"1001
847
90381
934
747
22
87645","Botaurus poiciloptilus
Numenius madagascariensis
Thinornis cucullatus cucullatus
Leipoa ocellata
Neophema chrysogaster
Neophoca cinerea
Miniopterus orianae bassanii","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Eastern Hooded Plover, Eastern Hooded Plover
Malleefowl
Orange-bellied Parrot
Australian Sea-lion, Australian Sea Lion
Southern Bent-wing Bat",38753050.0976563,25056.9324443937
905,7,"1001
847
90381
747
82338
744
1828","Botaurus poiciloptilus
Numenius madagascariensis
Thinornis cucullatus cucullatus
Neophema chrysogaster
Anthochaera phrygia
Lathamus discolor
Litoria raniformis","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Eastern Hooded Plover, Eastern Hooded Plover
Orange-bellied Parrot
Regent Honeyeater
Swift Parrot
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",3247842271.42188,773611.876008212
906,7,"1001
847
90381
747
82338
744
96","Botaurus poiciloptilus
Numenius madagascariensis
Thinornis cucullatus cucullatus
Neophema chrysogaster
Anthochaera phrygia
Lathamus discolor
Pseudomys novaehollandiae","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Eastern Hooded Plover, Eastern Hooded Plover
Orange-bellied Parrot
Regent Honeyeater
Swift Parrot
New Holland Mouse, Pookila",159035077.039063,76262.463892883
907,7,"1001
847
90381
747
82338
1828
96","Botaurus poiciloptilus
Numenius madagascariensis
Thinornis cucullatus cucullatus
Neophema chrysogaster
Anthochaera phrygia
Litoria raniformis
Pseudomys novaehollandiae","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Eastern Hooded Plover, Eastern Hooded Plover
Orange-bellied Parrot
Regent Honeyeater
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog
New Holland M",118963928.710938,61883.8208984298
908,7,"1001
847
90381
744
1828
333
90200","Botaurus poiciloptilus
Numenius madagascariensis
Thinornis cucullatus cucullatus
Lathamus discolor
Litoria raniformis
Dasyurus viverrinus
Ammoniropa vigens","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Eastern Hooded Plover, Eastern Hooded Plover
Swift Parrot
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog
Eastern Quoll, Luaner
Ammonite Pinwheel",507633437.804688,157982.414499911
909,8,"1001
82338
744
19162
86084
85104
96
86072","Botaurus poiciloptilus
Anthochaera phrygia
Lathamus discolor
Rhodomyrtus psidioides
Phyllodes imperialis smithersi
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Pseudomys novaehollandiae
Wollumbinia georgesi","Australasian Bittern
Regent Honeyeater
Swift Parrot
Native Guava
Pink Underwing Moth
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
New Holland Mouse, Pookila
Georges' Snapping Turtle, Bellinger River Saw",143691853.78125,60993.0368187227
910,8,"1001
82338
19162
85104
96
66240
1765
68751","Botaurus poiciloptilus
Anthochaera phrygia
Rhodomyrtus psidioides
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Pseudomys novaehollandiae
Hippocampus whitei
Chelonia mydas
Carcharias taurus (east coast population)","Australasian Bittern
Regent Honeyeater
Native Guava
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
New Holland Mouse, Pookila
White's Seahorse, Crowned Seahorse, Sydney Seahorse
Green Turtle
Grey Nurse Sh",37205261.21875,24500.7713180954
911,8,"1001
942
82338
744
74525
19162
86084
85104","Botaurus poiciloptilus
Erythrotriorchis radiatus
Anthochaera phrygia
Lathamus discolor
Antrophyum austroqueenslandicum
Rhodomyrtus psidioides
Phyllodes imperialis smithersi
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Australasian Bittern
Red Goshawk
Regent Honeyeater
Swift Parrot
Border Ranges Lined Fern, Lamington Ox Tongue Fern
Native Guava
Pink Underwing Moth
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",210997767.929688,95076.4294408338
912,8,"1001
942
82338
744
78866
19162
85104
1656","Botaurus poiciloptilus
Erythrotriorchis radiatus
Anthochaera phrygia
Lathamus discolor
Gossia gonoclada
Rhodomyrtus psidioides
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Delma torquata","Australasian Bittern
Red Goshawk
Regent Honeyeater
Swift Parrot
Angle-stemmed Myrtle
Native Guava
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
Adorned Delma, Collared Delma",34950214.4960938,23690.4739788469
913,8,"1001
942
82338
744
1935
225
85104
96","Botaurus poiciloptilus
Erythrotriorchis radiatus
Anthochaera phrygia
Lathamus discolor
Philoria kundagungan
Petrogale penicillata
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Pseudomys novaehollandiae","Australasian Bittern
Red Goshawk
Regent Honeyeater
Swift Parrot
Mountain Frog
Brush-tailed Rock-wallaby
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
New Holland Mouse, Pookila",140413612.40625,47491.0373120576
914,8,"1001
942
82338
744
19162
67178
85104
1765","Botaurus poiciloptilus
Erythrotriorchis radiatus
Anthochaera phrygia
Lathamus discolor
Rhodomyrtus psidioides
Davidsonia johnsonii
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Chelonia mydas","Australasian Bittern
Red Goshawk
Regent Honeyeater
Swift Parrot
Native Guava
Smooth Davidsonia, Smooth Davidson's Plum, Small-leaved Davidson's Plum
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
Green Tu",105614573.074219,47561.9625609977
915,8,"1001
847
19162
85104
66240
1765
1767
68751","Botaurus poiciloptilus
Numenius madagascariensis
Rhodomyrtus psidioides
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Hippocampus whitei
Chelonia mydas
Lepidochelys olivacea
Carcharias taurus (east coast population)","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Native Guava
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
White's Seahorse, Crowned Seahorse, Sydney Seahorse
Green Turtle
Olive Ridley Turtle, Pa",34855384.2617188,23656.398997103
916,8,"1001
847
90381
82338
744
1828
85104
1765","Botaurus poiciloptilus
Numenius madagascariensis
Thinornis cucullatus cucullatus
Anthochaera phrygia
Lathamus discolor
Litoria raniformis
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Chelonia mydas","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Eastern Hooded Plover, Eastern Hooded Plover
Regent Honeyeater
Swift Parrot
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog
Koala (combined popula",155678356.617188,50233.5485281091
917,7,"1001
847
90381
747
744
1828
96","Botaurus poiciloptilus
Numenius madagascariensis
Thinornis cucullatus cucullatus
Neophema chrysogaster
Lathamus discolor
Litoria raniformis
Pseudomys novaehollandiae","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Eastern Hooded Plover, Eastern Hooded Plover
Orange-bellied Parrot
Swift Parrot
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog
New Holland Mouse,",79587371.2890625,36562.8071379533
918,7,"1001
847
90381
747
1828
22
56791","Botaurus poiciloptilus
Numenius madagascariensis
Thinornis cucullatus cucullatus
Neophema chrysogaster
Litoria raniformis
Neophoca cinerea
Craterocephalus fluviatilis","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Eastern Hooded Plover, Eastern Hooded Plover
Orange-bellied Parrot
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog
Australian Sea-lion, Australian",38065497.75,24809.8768656627
919,7,"1001
847
90381
747
1828
96
87645","Botaurus poiciloptilus
Numenius madagascariensis
Thinornis cucullatus cucullatus
Neophema chrysogaster
Litoria raniformis
Pseudomys novaehollandiae
Miniopterus orianae bassanii","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Eastern Hooded Plover, Eastern Hooded Plover
Orange-bellied Parrot
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog
New Holland Mouse, Pookila
Sout",39626958.6015625,25370.9506714028
920,7,"1001
847
90381
747
906
82338
744","Botaurus poiciloptilus
Numenius madagascariensis
Thinornis cucullatus cucullatus
Neophema chrysogaster
Pedionomus torquatus
Anthochaera phrygia
Lathamus discolor","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Eastern Hooded Plover, Eastern Hooded Plover
Orange-bellied Parrot
Plains-wanderer
Regent Honeyeater
Swift Parrot",39489907.203125,25321.7045048206
921,7,"1001
847
90381
747
906
82338
1828","Botaurus poiciloptilus
Numenius madagascariensis
Thinornis cucullatus cucullatus
Neophema chrysogaster
Pedionomus torquatus
Anthochaera phrygia
Litoria raniformis","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Eastern Hooded Plover, Eastern Hooded Plover
Orange-bellied Parrot
Plains-wanderer
Regent Honeyeater
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Fr",78762969.6875,36414.6926272503
922,7,"1001
847
90381
747
906
1828
87645","Botaurus poiciloptilus
Numenius madagascariensis
Thinornis cucullatus cucullatus
Neophema chrysogaster
Pedionomus torquatus
Litoria raniformis
Miniopterus orianae bassanii","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Eastern Hooded Plover, Eastern Hooded Plover
Orange-bellied Parrot
Plains-wanderer
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog
Southern Bent-w",631921624.21875,241015.399539837
923,7,"1001
847
90381
747
906
22
87645","Botaurus poiciloptilus
Numenius madagascariensis
Thinornis cucullatus cucullatus
Neophema chrysogaster
Pedionomus torquatus
Neophoca cinerea
Miniopterus orianae bassanii","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Eastern Hooded Plover, Eastern Hooded Plover
Orange-bellied Parrot
Plains-wanderer
Australian Sea-lion, Australian Sea Lion
Southern Bent-wing Bat",39544523.390625,25341.3295427683
924,8,"1001
847
82338
744
19162
85104
66240
1765","Botaurus poiciloptilus
Numenius madagascariensis
Anthochaera phrygia
Lathamus discolor
Rhodomyrtus psidioides
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Hippocampus whitei
Chelonia mydas","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Regent Honeyeater
Swift Parrot
Native Guava
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
White's Seahorse, Crowned Seahorse, Sydney Seahorse
Green",72475474.1601563,37174.2814320724
925,8,"1001
847
82338
744
19162
85104
96
1765","Botaurus poiciloptilus
Numenius madagascariensis
Anthochaera phrygia
Lathamus discolor
Rhodomyrtus psidioides
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Pseudomys novaehollandiae
Chelonia mydas","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Regent Honeyeater
Swift Parrot
Native Guava
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
New Holland Mouse, Pookila
Green Turtle",2299546764.01172,881649.036300199
926,10,"1001
847
942
744
19162
85104
331
1765
1767
68751","Botaurus poiciloptilus
Numenius madagascariensis
Erythrotriorchis radiatus
Lathamus discolor
Rhodomyrtus psidioides
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Dasyurus hallucatus
Chelonia mydas
Lepidochelys olivacea
Carcharias","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Red Goshawk
Swift Parrot
Native Guava
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari]",34475823.8085938,23520.0129902266
927,10,"1001
847
942
744
19162
85104
331
66240
1765
1767","Botaurus poiciloptilus
Numenius madagascariensis
Erythrotriorchis radiatus
Lathamus discolor
Rhodomyrtus psidioides
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Dasyurus hallucatus
Hippocampus whitei
Chelonia mydas
Lepidochelys o","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Red Goshawk
Swift Parrot
Native Guava
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari]",34417372.9140625,23499.01005172
928,10,"1001
847
942
744
19162
85104
66240
1765
1767
68751","Botaurus poiciloptilus
Numenius madagascariensis
Erythrotriorchis radiatus
Lathamus discolor
Rhodomyrtus psidioides
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Hippocampus whitei
Chelonia mydas
Lepidochelys olivacea
Carcharias t","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Red Goshawk
Swift Parrot
Native Guava
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
White's Seahorse, Crowned Seahorse, Sydney Seahorse
Green Turtl",310209332.113281,95336.2387040082
929,7,"1001
847
90381
906
82338
744
1828","Botaurus poiciloptilus
Numenius madagascariensis
Thinornis cucullatus cucullatus
Pedionomus torquatus
Anthochaera phrygia
Lathamus discolor
Litoria raniformis","Australasian Bittern
Eastern Curlew, Far Eastern Curlew
Eastern Hooded Plover, Eastern Hooded Plover
Plains-wanderer
Regent Honeyeater
Swift Parrot
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",78468317.5234375,39327.6676302209
930,7,"1001
906
82338
744
1828
87645
76211","Botaurus poiciloptilus
Pedionomus torquatus
Anthochaera phrygia
Lathamus discolor
Litoria raniformis
Miniopterus orianae bassanii
Lachnagrostis adamsonii","Australasian Bittern
Plains-wanderer
Regent Honeyeater
Swift Parrot
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog
Southern Bent-wing Bat
Adamson's Blown-grass, Adamson's Blowngrass",275967781.21875,87038.501150341
931,7,"1001
906
25982
744
82953
1828
87645","Botaurus poiciloptilus
Pedionomus torquatus
Calyptorhynchus banksii graptogyne
Lathamus discolor
Hyridella glenelgensis
Litoria raniformis
Miniopterus orianae bassanii","Australasian Bittern
Plains-wanderer
South-eastern Red-tailed Black-Cockatoo
Swift Parrot
Glenelg Freshwater Mussel
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog
Southern Bent-wing Bat",78521594.6796875,39346.8115621182
932,7,"1001
90381
82338
744
1828
85104
1765","Botaurus poiciloptilus
Thinornis cucullatus cucullatus
Anthochaera phrygia
Lathamus discolor
Litoria raniformis
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Chelonia mydas","Australasian Bittern
Eastern Hooded Plover, Eastern Hooded Plover
Regent Honeyeater
Swift Parrot
Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog
Koala (combined populations of Queensland, New South Wale",233543617.171875,108750.850555231
933,7,"1001
90381
82338
744
85104
1765
68751","Botaurus poiciloptilus
Thinornis cucullatus cucullatus
Anthochaera phrygia
Lathamus discolor
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Chelonia mydas
Carcharias taurus (east coast population)","Australasian Bittern
Eastern Hooded Plover, Eastern Hooded Plover
Regent Honeyeater
Swift Parrot
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
Green Turtle
Grey Nurse Shark (east coast population)",426092074.070313,194804.074998207
934,7,"1001
90381
82338
744
85104
96
1765","Botaurus poiciloptilus
Thinornis cucullatus cucullatus
Anthochaera phrygia
Lathamus discolor
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Pseudomys novaehollandiae
Chelonia mydas","Australasian Bittern
Eastern Hooded Plover, Eastern Hooded Plover
Regent Honeyeater
Swift Parrot
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
New Holland Mouse, Pookila
Green Turtle",37739141.3671875,24692.6084423355
935,6,"942
82338
744
225
85104
96","Erythrotriorchis radiatus
Anthochaera phrygia
Lathamus discolor
Petrogale penicillata
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Pseudomys novaehollandiae","Red Goshawk
Regent Honeyeater
Swift Parrot
Brush-tailed Rock-wallaby
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
New Holland Mouse, Pookila",213624149.0625,108507.875965824
936,6,"942
82338
19162
1935
225
85104","Erythrotriorchis radiatus
Anthochaera phrygia
Rhodomyrtus psidioides
Philoria kundagungan
Petrogale penicillata
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Red Goshawk
Regent Honeyeater
Native Guava
Mountain Frog
Brush-tailed Rock-wallaby
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",35327604.234375,23826.0799907494
937,8,"942
82338
744
85104
331
1656
1765
1767","Erythrotriorchis radiatus
Anthochaera phrygia
Lathamus discolor
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Dasyurus hallucatus
Delma torquata
Chelonia mydas
Lepidochelys olivacea","Red Goshawk
Regent Honeyeater
Swift Parrot
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]
Adorned Delma, Collared Delma
Gre",34934307.078125,23684.7580271695
938,8,"942
82338
744
19162
225
85104
331
1656","Erythrotriorchis radiatus
Anthochaera phrygia
Lathamus discolor
Rhodomyrtus psidioides
Petrogale penicillata
Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)
Dasyurus hallucatus
Delma torquata","Red Goshawk
Regent Honeyeater
Swift Parrot
Native Guava
Brush-tailed Rock-wallaby
Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)
Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [M",488384634.160156,107206.618315169
